,open,high,low,close,volume,Symbol,MA_10,MA_50,RSI,MACD,Signal_Line
2024-12-02,421.57,433.0,421.31,430.98,20207223,MSFT,420.312,358.51279999999997,61.459621841314735,15.037051689520808,18.979562740094458
2024-12-03,429.84,432.47,427.74,431.2,18301987,MSFT,421.85600000000005,362.2474,57.88762309326126,14.701501786337587,18.123950549343085
2024-12-04,433.03,439.67,432.63,437.42,26009429,MSFT,423.8190000000001,366.09839999999997,60.941977077363916,14.767250417332662,17.452610522941
2024-12-05,437.92,444.66,436.171,442.62,21697775,MSFT,426.53200000000004,370.0342,63.2518955349621,15.065289938285105,16.97514640600982
2024-12-06,442.3,446.1,441.7703,443.57,18821002,MSFT,429.602,373.9946,79.50836604007435,15.202895945432715,16.6206963138944
2024-12-09,442.6,448.33,440.5,446.02,19144388,MSFT,432.504,377.97299999999996,80.19960079840317,15.332896139688614,16.363136279053244
2024-12-10,444.39,449.62,441.6,443.33,18469459,MSFT,434.95799999999997,381.8988,75.15760441292353,15.04542739000658,16.099594501243914
2024-12-11,444.05,450.35,444.05,448.99,19200208,MSFT,437.058,386.0714,80.94974131559498,15.10025469564033,15.899726540123197
2024-12-12,449.11,456.1648,449.11,449.56,20834779,MSFT,439.715,390.31659999999994,85.23141924332629,15.016597972753402,15.723100826649238
2024-12-13,448.435,451.43,445.58,447.27,20177833,MSFT,442.096,394.42519999999996,80.13139558033045,14.597247571941693,15.49793017570773
2024-12-16,447.27,452.18,445.28,451.59,23598834,MSFT,444.157,398.6964,81.08415466262316,14.446961673049998,15.287736475176184
2024-12-17,451.01,455.29,449.57,454.46,22733494,MSFT,446.483,403.06699999999995,78.50527676071502,14.393524439752582,15.108894068091463
2024-12-18,451.32,452.65,437.02,437.39,24444545,MSFT,446.48,407.1,62.307692307692285,12.825919491274533,14.652299152728077
2024-12-19,441.62,443.1834,436.32,437.03,22963681,MSFT,445.921,411.134,61.62014043500598,11.422856702680235,14.006410662718508
2024-12-20,433.11,443.74,428.63,436.6,64263694,MSFT,445.224,415.08459999999997,55.477582846003905,10.159113985659928,13.236951327306793
2024-12-23,436.74,437.65,432.83,435.25,19152519,MSFT,444.14700000000005,419.24,53.86229258058365,8.945536483884325,12.378668358622301
2024-12-24,434.65,439.6,434.19,439.33,7164543,MSFT,443.747,423.6098,51.89898588188503,8.218254549628398,11.546585596823522
2024-12-26,439.08,440.94,436.63,438.11,8199927,MSFT,442.659,428.0324,45.130641330166284,7.457469506554617,10.72876237876974
2024-12-27,434.6,435.22,426.35,430.53,18117713,MSFT,440.756,428.32060000000007,37.68417075935019,6.171755076721297,9.817360918360052
2024-12-30,426.06,427.55,421.9,424.83,13158703,MSFT,438.512,428.4828,31.144331731624845,4.63939471059291,8.781767676806624
2024-12-31,426.1,426.73,420.66,421.5,13246509,MSFT,435.503,428.5496,30.79359493225411,3.1203158515397718,7.6494773117532535
2025-01-02,425.53,426.07,414.85,418.58,16896469,MSFT,431.91499999999996,428.54560000000004,21.889443520059118,1.6616607243438466,6.451913994271373
2025-01-03,421.08,424.03,419.54,423.35,16662943,MSFT,430.5110000000001,428.4624,27.51758449133645,0.8804162717048598,5.33761444975807
2025-01-06,428.0,434.32,425.4774,427.85,20573648,MSFT,429.593,428.52740000000006,33.95041322314053,0.6172712871962744,4.393545817245711
2025-01-07,429.0,430.65,420.8,422.37,18139065,MSFT,428.16999999999996,428.4802,26.30554654557254,-0.033081863483630514,3.5082202810998426
2025-01-08,423.46,426.97,421.54,424.56,15054575,MSFT,427.101,428.4084,25.483765168907865,-0.3675399517543383,2.7330682345290067
2025-01-10,424.63,424.71,415.02,418.95,20201132,MSFT,425.063,428.25559999999996,31.381260096930546,-1.0729126425448499,1.9718720591142356
2025-01-13,415.235,418.5,412.29,417.19,17604780,MSFT,422.971,427.9604,30.518460329929326,-1.75372699980187,1.2267522473310146
2025-01-14,417.81,419.74,410.72,415.67,16935856,MSFT,421.485,427.6232,29.878869448183053,-2.3883966301336272,0.5037224718380863
2025-01-15,419.13,428.15,418.265,426.31,19637838,MSFT,421.633,428.02240000000006,42.70799347471453,-2.0096517920160295,0.0010476190672631391
2025-01-16,428.695,429.49,424.39,424.58,15300023,MSFT,421.941,428.30659999999995,37.489397794741315,-1.8280180665162789,-0.3647655180494453
2025-01-17,434.085,434.48,428.17,429.03,26197507,MSFT,422.986,428.718,42.69861691862332,-1.3098945714208412,-0.5537913287237245
2025-01-21,430.2,430.8999,425.595,428.5,26085703,MSFT,423.50100000000003,429.0588,48.158897152185766,-0.931308988979481,-0.6292948607748758
2025-01-22,437.56,447.27,436.0,446.2,27803811,MSFT,425.33599999999996,429.57919999999996,65.91687769998511,0.7878826666538998,-0.34585935528912076
2025-01-23,442.0,446.75,441.5048,446.71,18389270,MSFT,427.77,430.00480000000005,69.60037319234954,2.1665327368321528,0.15661906313513396
2025-01-24,445.16,446.65,441.4,444.06,15549453,MSFT,429.71999999999997,430.43519999999995,69.89381636477205,3.010585837549229,0.727412418017953
2025-01-27,424.01,435.2,423.5,434.56,35647805,MSFT,431.28099999999995,430.7662,58.15035625999709,2.8797375735805417,1.1578774491304706
2025-01-28,434.6,448.38,431.38,447.2,23491703,MSFT,434.282,431.2496,62.57963853855154,3.7527226935642375,1.6768464980172242
2025-01-29,446.69,446.88,440.4,442.33,23581370,MSFT,436.948,431.5922,63.07994757536042,4.0054292953341815,2.142563057480616
2025-01-30,418.77,422.86,413.16,414.99,54586260,MSFT,435.816,431.3542,45.28339083292262,1.9768042192812345,2.1094112898407396
2025-01-31,418.98,420.69,414.91,415.06,34223388,MSFT,434.86400000000003,431.3553999999999,47.972057136899174,0.37048196061545013,1.7616254239956817
2025-02-03,411.6,415.41,408.66,410.92,25679149,MSFT,433.05300000000005,431.2586,46.810458846271246,-1.222511056408905,1.1647981279147646
2025-02-04,412.685,413.9199,409.74,412.37,20532096,MSFT,431.44000000000005,431.1502,48.32009773976786,-2.340981242893463,0.46364225375311907
2025-02-05,412.35,413.827,410.4,413.29,16336188,MSFT,428.149,431.1062,42.64406779661017,-3.1172073862315983,-0.25252767424382444
2025-02-06,414.0,418.2,414.0,415.82,16309755,MSFT,425.06000000000006,431.16519999999997,45.095184770436724,-3.488014679317189,-0.8996250752584973
2025-02-07,416.48,418.65,408.1,409.75,22886844,MSFT,421.629,431.0202,39.397272327320714,-4.223000282967519,-1.5643001168003017
2025-02-10,413.71,415.4624,410.92,412.22,20817919,MSFT,419.395,430.88880000000006,41.23411587335775,-4.5536813082437675,-2.162176355088995
2025-02-11,409.64,412.49,409.3,411.44,18140592,MSFT,415.8190000000001,430.5578,27.11351066631549,-4.823090301742354,-2.694359144419667
2025-02-12,407.21,410.75,404.3673,409.04,19121734,MSFT,412.49000000000007,430.27880000000005,25.79982012077606,-5.170654723409427,-3.1896182602176193
2025-02-13,407.0,411.0,406.36,410.54,23891731,MSFT,412.04499999999996,430.0204,28.142931664058423,-5.264380071172354,-3.6045706224085663
2025-02-14,407.79,408.91,405.88,408.43,22758464,MSFT,411.38199999999995,429.56940000000003,31.14446529080675,-5.446137764477555,-3.9728840508223646
2025-02-18,408.0,410.597,406.5,409.64,21423051,MSFT,411.254,429.1382,17.542343587970933,-5.429952051090197,-4.264297650875932
2025-02-19,407.88,415.49,407.65,414.77,24114197,MSFT,411.494,428.68520000000007,26.290433585684767,-4.9461603719281015,-4.4006701950863665
2025-02-20,415.29,419.31,412.54,416.13,23508728,MSFT,411.7780000000001,428.1554,51.7734909769757,-4.4022647786025,-4.400989111789594
2025-02-21,417.335,418.048,407.89,408.21,27524799,MSFT,411.017,427.4482,41.435358839709906,-4.5577623647023415,-4.432343762372144
2025-02-24,408.51,409.37,399.32,404.0,26443656,MSFT,410.442,426.6078,41.36295556665001,-4.963491101792556,-4.538573230256226
2025-02-25,401.1,401.915,396.7,397.9,29387402,MSFT,409.01,425.69919999999996,33.81793782151642,-5.7114154274125895,-4.773141669687499
2025-02-26,398.01,403.6,394.245,399.73,19618954,MSFT,407.83900000000006,424.714,35.13809732573435,-6.086325763127263,-5.035778488375453
2025-02-27,401.265,405.74,392.17,392.53,21127406,MSFT,406.188,423.57340000000005,26.844303042354383,-6.88505806873701,-5.405634404447764
2025-02-28,392.655,397.63,386.57,396.99,32845658,MSFT,404.83299999999997,422.5678,36.89400164338544,-7.076599811665005,-5.739827485891213
2025-03-03,398.82,398.82,386.155,388.49,23007726,MSFT,402.839,421.30580000000003,28.312922683238938,-7.824085794737812,-6.156679147660532
2025-03-04,383.4,392.58,381.0,388.61,29342923,MSFT,400.736,419.98879999999997,28.880666049953817,-8.310986940510077,-6.587540706230442
2025-03-05,389.34,401.67,388.81,401.02,23433132,MSFT,399.361,419.2614,43.74024352169839,-7.607778585311621,-6.791588282046678
2025-03-06,394.28,402.15,392.6777,396.89,23304625,MSFT,397.437,418.4586,39.766081871345015,-7.29959222627798,-6.893189070892939
2025-03-07,392.32,394.8,385.54,393.31,22034087,MSFT,395.947,417.5928,38.908450704225366,-7.260533486564611,-6.966657954027275
2025-03-10,385.84,386.4,377.22,380.16,32569768,MSFT,393.563,416.491,31.598002496878948,-8.196193636515034,-7.212565090524827
2025-03-11,379.0,386.0,376.91,380.45,30380177,MSFT,391.818,415.31339999999994,27.19904331650281,-8.812722886344886,-7.5325966496888395
