,open,high,low,close,volume
2024-12-23,178.1200,179.6500,174.2901,177.6900,8486421
2024-12-24,177.6900,180.9500,177.5000,179.3400,4316969
2024-12-26,178.9800,182.5700,178.3300,180.3800,5917678
2024-12-27,180.0100,181.4300,179.4000,180.7200,6806925
2024-12-30,173.7200,178.1700,170.1500,176.5500,18082312
2024-12-31,177.5400,179.3499,175.8200,177.0000,9748554
2025-01-02,178.3100,179.1900,169.8200,171.8700,12449954
2025-01-03,171.4000,173.9800,169.8000,169.9000,10513769
2025-01-06,173.5000,173.9442,170.1900,170.7800,11133425
2025-01-07,171.1650,175.0200,170.8000,172.5100,7045017
2025-01-08,171.1500,173.7800,169.6100,171.7600,5108711
2025-01-10,171.4900,173.5350,167.4100,172.0000,7556765
2025-01-13,171.1800,172.5000,167.9100,170.5700,6049552
2025-01-14,171.3700,171.8800,164.6200,167.0200,7966857
2025-01-15,169.0100,169.9900,165.9701,166.2000,6451034
2025-01-16,166.7900,170.6399,166.5700,168.9300,5812341
2025-01-17,169.7950,171.7700,169.4500,171.0900,9557133
2025-01-21,172.3800,177.0900,171.9321,175.5600,8755311
2025-01-22,175.2900,176.2300,173.8800,174.8000,5134446
2025-01-23,174.0100,178.6699,173.7500,178.5000,7097348
2025-01-24,176.0000,180.4300,174.3650,176.0600,9304227
2025-01-27,175.5500,178.1800,174.4000,175.1600,7148613
2025-01-28,181.3100,188.4800,174.0200,177.7800,22768851
2025-01-29,179.1250,182.5500,170.6500,173.6600,12263458
2025-01-30,174.5900,179.9400,173.7218,179.5300,6996317
2025-01-31,180.5100,181.7800,175.7400,176.5200,6116155
2025-02-03,174.1100,178.2000,173.1277,175.8700,6501722
2025-02-04,176.9000,177.4500,174.2500,176.2300,4503584
2025-02-05,176.0000,181.8600,175.5050,181.8400,7430431
2025-02-06,182.0000,185.8500,182.0000,184.8000,6919404
2025-02-07,185.2600,186.1087,180.9300,181.4900,5392310
2025-02-10,183.1200,183.5500,179.9000,180.5500,3989106
2025-02-11,179.7800,182.1400,177.6000,180.4400,4366651
2025-02-12,178.3400,186.2700,178.2500,186.2500,7686842
2025-02-13,187.0000,188.2400,185.0900,185.4400,6846329
2025-02-14,186.7500,186.8200,183.5750,184.4200,5044712
2025-02-18,185.6800,188.6600,184.2200,184.9700,6929627
2025-02-19,185.3100,187.2299,181.8300,186.1500,7264764
2025-02-20,185.5800,185.8000,180.1100,180.8800,7863048
2025-02-21,181.2800,182.2000,174.7100,177.1500,8980339
2025-02-24,177.4750,183.0400,176.5500,179.9100,8392903
2025-02-25,180.4500,181.8800,176.3400,178.2700,5613880
2025-02-26,179.4900,179.4900,171.8300,173.0400,7111736
2025-02-27,174.5200,177.1500,173.5900,173.8300,4695248
2025-02-28,174.3600,176.3000,173.4811,174.6300,5803347
2025-03-03,177.0200,178.4000,169.4600,170.0600,6045578
2025-03-04,167.3700,168.3800,156.6900,158.9000,15870217
2025-03-05,159.9600,164.3300,158.8100,163.1600,7355750
2025-03-06,161.4200,162.6900,157.9400,158.4300,6892570
2025-03-07,157.1900,158.3600,149.0500,154.1800,12526696
2025-03-10,150.0300,150.3900,146.3000,148.1500,10128139
2025-03-11,148.0000,155.0100,145.4500,154.0600,10030549
2025-03-12,157.0000,159.5400,153.6113,158.8000,8706890
