,open,high,low,close,volume
2024-12-05,150.0000,150.3800,148.9500,149.5200,7898098
2024-12-06,149.3900,150.0500,148.3800,149.3100,8389611
2024-12-09,149.2900,150.8900,148.4400,149.6000,8410303
2024-12-10,149.9300,150.8300,148.3300,149.2300,9398671
2024-12-11,148.5000,148.5000,146.3700,146.6400,13446656
2024-12-12,147.2000,147.7700,146.0100,146.2400,6176269
2024-12-13,145.6600,146.9300,145.0400,146.6200,8324900
2024-12-16,146.7300,147.2500,143.5200,143.8500,8732378
2024-12-17,143.8400,146.6600,143.7100,146.4100,10342958
2024-12-18,145.6780,146.7400,144.6700,144.7500,9336094
2024-12-19,144.1400,145.2200,143.3700,143.5800,9516653
2024-12-20,143.0500,145.4700,142.7500,144.4700,17702755
2024-12-23,144.6300,145.3300,143.4500,145.2700,8720824
2024-12-24,145.0000,145.8500,144.3325,145.8500,3164071
2024-12-26,145.5100,146.3700,145.0900,145.5800,4656981
2024-12-27,144.8700,146.6000,144.6800,145.0500,5588306
2024-12-30,144.8400,144.8800,142.9500,143.3400,6268692
2024-12-31,143.7600,144.6700,143.3098,144.6200,5811401
2025-01-02,145.2300,145.7700,143.7800,144.0200,6051330
2025-01-03,144.0700,144.5750,143.6200,144.1900,5879816
2025-01-06,143.5100,144.8150,142.9300,143.6600,7910493
2025-01-07,143.7550,147.1800,143.5900,146.2300,8422010
2025-01-08,145.4900,145.5900,141.4400,142.2700,11175552
2025-01-10,141.0000,143.6700,140.6800,142.0600,8821541
2025-01-13,142.9800,145.0700,142.3100,144.4700,10376377
2025-01-14,144.5000,144.8100,142.8600,144.7500,8681741
2025-01-15,145.3100,146.0500,144.2600,144.9700,7434562
2025-01-16,144.3200,148.0700,144.0600,147.7700,8964016
2025-01-17,147.4400,148.3800,146.6100,147.0300,10773054
2025-01-21,147.5600,148.8600,147.0500,148.1500,11111747
2025-01-22,144.0000,145.4700,142.1100,145.2700,16834747
2025-01-23,145.4400,147.9100,144.8144,146.6400,10506361
2025-01-24,146.8050,147.6310,146.3830,146.8200,9887682
2025-01-27,148.4500,153.4500,148.0000,152.8900,15152314
2025-01-28,152.6600,152.9700,150.3000,150.3800,10320613
2025-01-29,150.5000,151.8800,150.0000,151.1500,7156421
2025-01-30,151.9100,154.1400,151.3600,152.8700,8910983
2025-01-31,152.6200,153.1800,152.0550,152.1500,8458715
2025-02-03,152.0000,152.4650,150.7800,151.8700,6687487
2025-02-04,151.3600,154.1800,150.9450,153.4900,9645289
2025-02-05,153.8200,154.7300,153.3100,154.6900,8946957
2025-02-06,154.7900,154.8402,153.3800,153.5100,7418468
2025-02-07,153.5300,154.4900,152.8000,153.1200,6204916
2025-02-10,153.6100,154.3700,152.2900,154.2400,6936561
2025-02-11,154.1100,156.3900,153.9400,156.1300,7554811
2025-02-12,155.2700,155.6599,154.2700,155.2600,7746014
2025-02-13,155.2600,158.1300,154.7900,157.2500,10705077
2025-02-14,157.2900,157.4700,156.0600,156.1500,6411840
2025-02-18,154.1400,155.4500,153.2400,154.9900,9670657
2025-02-19,155.0000,158.3000,154.7500,157.8900,7974736
2025-02-20,156.9500,159.9500,156.9500,159.6800,7224030
2025-02-21,159.8800,163.5100,159.2800,162.3000,12546930
2025-02-24,162.6800,164.8700,162.0500,163.7400,10201917
2025-02-25,164.1000,166.4300,163.9400,166.0900,12303697
2025-02-26,165.0800,165.1300,162.5550,163.0800,11396410
2025-02-27,162.3100,163.9500,161.7300,163.7300,8364573
2025-02-28,164.3100,165.9400,162.7000,165.0200,12037415
2025-03-03,164.9600,167.3300,164.8400,167.2800,9191464
2025-03-04,168.0800,169.9900,165.3200,165.4200,11999962
2025-03-05,164.5100,166.4618,163.5300,165.1200,8745050
2025-03-06,165.0000,165.8700,163.5100,165.8300,8037888
2025-03-07,165.1300,168.4600,164.7000,166.6900,9637593
2025-03-10,167.4800,169.9000,167.0500,167.7000,17523663
2025-03-11,167.2000,167.3000,165.0500,165.8600,9890648
2025-03-12,163.7300,164.2100,162.2300,162.8500,8010692
